idFechaConstruccion,sigla,nombreAeropuerto,categoria,tipo,departamento,municipio,latitud,longitud,propietario,longitudPista,anchoPista,pbmo,elevacion
2013-6,9ME,CACHIMBALITO - CA,Aeródromo,Fumigación,Cauca,Santander de Quilichao,3.1653,-76.4738,INCAUCA,250,10,500,3241
2012-8,9MG,MADREVIEJA,Aeródromo,Fumigación,Casanare,Nunchía,5.4623,-71.9584,CELMIRA BARRAGAN F.,1000,10,2000,640
2013-4,9MH,SAN JUAN,Aeródromo,Fumigación,Meta,San Martín,3.7017,-73.3774,RODOLFO MENDEZ,740,10,2000,870
2012-4,9MI,LA FORTUNA,Aeródromo,Fumigación,Meta,Puerto López,4.1028,-72.978,SAAC S.A.S,780,15,3000,690
2012-3,9MJ,AGROFORESTAL MATA AZUL,Aeródromo,Privado,Vichada,Santa Rosalía,5.2897,-70.6337,AEROCIVIL,1200,20,6500,118
2012-8,9MK,VILLA ISABELLA,Aeródromo,Fumigación,Casanare,Trinidad,5.2993,-71.3434,RAFAEL QUESADA,800,10,2000,620
2012-8,9ML,MIRADOR,Aeródromo,Fumigación,Casanare,Trinidad,5.4326,-71.6009,ANGELICA VEGA,790,10,2000,620
2013-4,9MM,EL CARIBE,Aeródromo,Fumigación,Casanare,Paz de Ariporo,5.7198,-71.4963,REGULO GAMA OJEDA,800,10,2000,585
2013-10,9MN,EL PEDRAL BONANZA,Aeródromo,Fumigación,Santander,Puerto Wilches,7.2417,-73.8151,AEROCIVIL,800,10,3000,282
2012-8,9MO,SAN NICOLAS,Aeródromo,Fumigación,Casanare,Tauramena,4.4703,-72.4575,CARLOS E. CONTRERAS,840,10,2000,585
2013-4,9MP,LOS LOBOS,Aeródromo,Fumigación,Casanare,Tauramena,4.4748,-72.7478,AGROVIMART S.A.,800,10,3000,580
2012-12,9MQ,EL RASTRO,Aeródromo,Fumigación,Vichada,Cumaribo,4.7022,-70.8617,EL RASTRO 1 S.A.S.,800,15,2000,545
2012-12,9MR,LOS GANSOS,Aeródromo,Fumigación,Vichada,Cumaribo,4.6764,-70.9997,LOS GANSOS 1 S.A.S.,900,40,2000,544
2013-3,9MS,BETANIA,Aeródromo,Fumigación,Casanare,Trinidad,5.5319,-71.6812,DIOSELINO ACOSTA,800,10,2000,2030
